Disaster,Code Region,Code District,Code Commune,Location,District,Year,Month,Day,Rainfall(mm),Flood
Flood,7,7002,7002012,Welikanda,Polannaruwa,2000,11,19,262.3,0
Flood,3,3002,3002018,Eramudugoda(GN),Matara,2000,9,17,203.0,0
Flood,5,5002,5002027,Karativu(GN),Ampara,2000,12,26,553.1,0
Flood,5,5001,5001006,Thiyawattuvan (GN),Batticaloa,2000,12,26,305.0,0
Flood,5,5001,5001018,Kallady Veloor(GN),Batticaloa,2000,12,26,305.0,0
Flood,3,3001,3001012,"Pahal Omatta(GN), Kahadoowa(GN), Goluwamulla(GN),",Galle,2000,10,18,279.0,0
Flood,7,7001,7001003,Konketiyawa ,Anuradhapura,2000,12,26,191.9,100
Flood,7,7001,7001006,"Kurulugama(GN), Bandara Ulpatha(GN)",Anuradhapura,2000,12,26,191.9,100
Flood,7,7001,7001024,"Horowpothana (GN), Medawachchiya Junction (GN)              ",Anuradhapura,2000,12,26,191.9,100
Flood,7,7001,7001021,Kahatagasdigiliya,Anuradhapura,2000,12,26,191.9,100
Flood,7,7001,7001054,"Ihala Puliyankulama(GN),Annasiwewa",Anuradhapura,2000,12,26,191.9,100
Flood,7,7001,7001057,Horivila(GN),Anuradhapura,2000,12,26,191.9,100
Flood,7,7001,7001063,Handungamuwa,Anuradhapura,2000,12,26,191.9,100
Flood,7,7001,7001009,Moragoda(GN),Anuradhapura,2000,12,26,191.9,100
Flood,5,5001,5001003,"Vakarai(GN),Panichchankerni(GN)",Batticaloa,2000,12,26,305.0,100
Flood,5,5001,5001012,Mavadivembu(GN),Batticaloa,2000,12,26,305.0,100
Flood,5,5001,5001033,Vellaveli(GN),Batticaloa,2000,12,26,305.0,100
Flood,5,5001,5001030,Paddippalai(GN),Batticaloa,2000,12,26,305.0,100
Flood,8,8001,8001003,Mapakadawewa(GN),Badulla,2000,1,1,139.0,100
Flood,5,5002,5002015,"Samapura(GN),Senanayakapura(GN),",Ampara,2000,4,2,115.9,100
Flood,5,5002,5002015,"Samapura(GN),Senanayakapura(GN),",Ampara,2000,11,18,406.8,100
Flood,7,7002,7002009,Thalpotha (GN),Polannaruwa,2000,11,19,262.3,100
Flood,7,7002,7002003,Unagalavehera (GN),Polannaruwa,2000,11,19,262.3,100
Flood,1,1003,1003036,Kamburawala(GN),Kaluthara,2000,9,17,111.8,0
Flood,7,7002,7002018,Atharagallewa (GN),Polannaruwa,2000,11,19,262.3,100
Flood,5,5002,5002003,Kadirapura(GN),Ampara,2000,11,18,406.8,100
Flood,8,8002,8002006,Lnginiyagala(GN),Monaragala,2000,11,19,334.0,100
Flood,4,4002,4002003,Pesalai(GN),Mannar,2000,11,19,387.9,100
Flood,7,7002,7002012,Welikanda,Polannaruwa,2000,12,26,211.9,0
Flood,5,5002,5002033,thikkanagar,Ampara,2000,12,26,553.1,0
Flood,7,7002,7002012,Manampitiya(GN),Polannaruwa,2000,11,19,262.3,0
Flood,5,5002,5002003,"Sandunpura(GN),Wewmedagama(GN),Mawanagama(GN)",Ampara,2000,11,18,406.8,0
Flood,5,5003,5003003,Padavi Sri Pura(GN),Trincomalee,2000,12,26,275.0,0
Flood,5,5002,5002045,Sangamam(GN),Ampara,2000,12,26,553.1,100
Flood,5,5002,5002036,Akkaraipattu(Karunkoditivu),Ampara,2000,2,4,207.6,100
Flood,5,5002,5002033,Addalachchenai,Ampara,2000,2,4,207.6,100
Flood,5,5002,5002042,Damana,Ampara,2000,2,4,207.6,100
Flood,4,4005,4005009,Karachchi,Kilinochchi,2000,11,10,388.4,100
Flood,4,4005,4005006,Kandavalai,Kilinochchi,2000,12,26,279.6,100
Flood,2,2002,2002024,Laggala-Pallegama,Matale,2000,12,5,185.0,100
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,9,11,135.0,100
Flood,5,5001,5001009,Koralai Pattu (Valachchenai),Batticaloa,2000,11,19,291.0,100
Flood,5,5002,5002051,Lahugala,Ampara,2000,1,1,271.1,100
Flood,7,7002,7002012,Welikanda,Polannaruwa,2000,11,19,262.3,100
Flood,7,7002,7002012,Welikanda,Polannaruwa,2000,11,19,262.3,0
Flood,5,5002,5002051,"Lahugala,Panama(GN)",Ampara,2000,1,1,271.1,0
Flood,5,5001,5001009,Valachchenai(GN),Batticaloa,2000,11,19,291.0,0
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,9,22,135.0,100
Flood,5,5002,5002039,Kolavil 03 (GN),Ampara,2000,12,26,553.1,0
Flood,2,2002,2002024,Kaluganga(GN),Matale,2000,5,12,133.0,0
Flood,4,4005,4005006,"Paranthan Town(GN),Punnaineeravi(GN),",Kilinochchi,2000,12,26,279.6,0
Flood,5,5002,5002033,thikkanagar,Ampara,2000,4,2,115.9,0
Flood,5,5002,5002045,Sangamam(GN),Ampara,2000,4,2,115.9,0
Flood,5,5002,5002048,Komarie (GN),Ampara,2000,4,2,115.9,0
Flood,5,5002,5002051,"Lahugala,Panama(GN)",Ampara,2000,1,2,271.1,0
Flood,5,5002,5002045,Sangamam(GN),Ampara,2000,11,18,406.8,0
Flood,5,5002,5002036,Akkaraipattu(GN),Ampara,2000,11,18,406.8,0
Flood,5,5002,5002024,Kalmunai Muslim Section (GN),Ampara,2000,11,18,406.8,0
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,10,1,306.0,100
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,10,23,306.0,100
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,12,18,235.0,100
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,12,20,235.0,100
Flood,5,5001,5001033,"Veeranchenai(GN),Vanninagar(GN)",Batticaloa,2000,12,26,305.0,100
Flood,5,5001,5001015,Eeavur(GN),Batticaloa,2000,12,26,305.0,100
Flood,2,2002,2002024,Karadamulla(GN),Matale,2000,5,12,133.0,0
Flood,5,5002,5002045,Thirukkovil,Ampara,2000,2,4,207.6,100
Flood,8,8001,8001006,Nagadeepa(GN),Badulla,2000,1,1,139.0,0
Flood,3,3001,3001039,Galle Four Gravets,Galle,2000,9,17,246.0,0
Flood,5,5002,5002042,Damana,Ampara,2000,4,2,115.9,100
Flood,9,9001,9001018,Kiridigala(GN),Ratnapura,2000,8,4,300.6,100
Flood,9,9001,9001018,Rassagala(GN),Ratnapura,2000,8,4,300.6,100
Flood,9,9001,9001018,Welekumbura(GN),Ratnapura,2000,8,4,300.6,100
Flood,9,9001,9001018,Polwathugoda(GN),Ratnapura,2000,8,4,300.6,100
Flood,4,4005,4005009,"Mavadyamman(GN),Jonepuram",Kilinochchi,2000,10,11,319.9,100
Flood,9,9001,9001018,Jasinkanda(GN),Ratnapura,2000,8,4,300.6,100
Flood,4,4005,4005006,"Paranthan Town(GN),Punnaineeravi(GN),",Kilinochchi,2000,12,26,279.6,100
Flood,7,7002,7002015,Gallella West(GN),Polannaruwa,2000,1,13,80.1,100
Flood,9,9001,9001018,Jasinkanda(GN),Ratnapura,2000,8,4,300.6,0
Flood,9,9001,9001018,Polwathugoda(GN),Ratnapura,2000,8,4,300.6,0
Flood,9,9001,9001018,Welekumbura(GN),Ratnapura,2000,8,4,300.6,0
Flood,9,9001,9001018,Rassagala(GN),Ratnapura,2000,8,4,300.6,0
Flood,9,9001,9001018,Kiridigala(GN),Ratnapura,2000,8,4,300.6,0
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,12,20,235.0,0
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,10,1,306.0,0
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,9,11,135.0,0
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,9,4,135.0,0
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,8,23,118.0,0
Flood,2,2002,2002024,Karadamulla(GN),Matale,2000,5,12,133.0,100
Flood,2,2002,2002024,Kaluganga(GN),Matale,2000,5,12,133.0,100
Flood,9,9001,9001018,Balangoda,Ratnapura,2000,12,28,348.0,0
Flood,9,9001,9001018,Balangoda,Ratnapura,2000,12,30,348.0,0
Flood,9,9001,9001018,Balangoda,Ratnapura,2000,12,13,348.0,0
Flood,9,9001,9001018,Balangoda,Ratnapura,2000,11,29,547.8,0
Flood,9,9001,9001018,Balangoda,Ratnapura,2000,8,23,300.6,0
Flood,9,9001,9001018,Balangoda,Ratnapura,2000,9,10,353.5,0
Flood,9,9001,9001018,Balangoda,Ratnapura,2000,1,11,195.0,0
Flood,9,9001,9001018,Balangoda,Ratnapura,2000,3,10,273.9,0
Flood,5,5002,5002033,thikkanagar,Ampara,2000,4,2,115.9,100
Flood,5,5002,5002036,Akkaraipattu(GN),Ampara,2000,4,2,115.9,100
Flood,5,5002,5002045,Sangamam(GN),Ampara,2000,4,2,115.9,100
Flood,5,5002,5002048,Komarie (GN),Ampara,2000,4,2,115.9,100
Flood,3,3002,3002027,Lenabatuwa(GN),Matara,2000,9,17,203.0,0
Flood,3,3002,3002036,Watagedara(GN),Matara,2000,9,17,203.0,0
Flood,3,3002,3002015,Thalahagama West(GN),Matara,2000,9,17,203.0,0
Flood,5,5001,5001003,Vakarui(GN),Batticaloa,2000,11,19,291.0,0
Flood,5,5002,5002027,Karativu(GN),Ampara,2000,11,18,406.8,0
Flood,7,7002,7002006,Kahambiliyawa (GN),Polannaruwa,2000,11,19,262.3,0
Flood,5,5002,5002006,"Marangala (GN), Pulungasmulla (GN)",Ampara,2000,12,20,553.1,0
Flood,5,5001,5001033,"Veeranchenai(GN),Vanninagar(GN)",Batticaloa,2000,12,26,305.0,0
Flood,5,5001,5001015,Eeavur(GN),Batticaloa,2000,12,26,305.0,0
Flood,5,5002,5002045,Sangamam(GN),Ampara,2000,12,26,553.1,0
Flood,7,7001,7001003,Konketiyawa ,Anuradhapura,2000,12,26,191.9,0
Flood,7,7001,7001054,"Ihala Puliyankulama(GN),Annasiwewa",Anuradhapura,2000,12,26,191.9,0
Flood,7,7001,7001057,Horivila(GN),Anuradhapura,2000,12,26,191.9,0
Flood,7,7001,7001063,Handungamuwa,Anuradhapura,2000,12,26,191.9,0
Flood,3,3002,3002012,Mulatiyana,Matara,2000,9,17,203.0,0
Flood,7,7001,7001009,Moragoda(GN),Anuradhapura,2000,12,26,191.9,0
Flood,5,5001,5001012,Mavadivembu(GN),Batticaloa,2000,12,26,305.0,0
Flood,5,5001,5001030,Paddippalai(GN),Batticaloa,2000,12,26,305.0,0
Flood,8,8001,8001003,Mapakadawewa(GN),Badulla,2000,1,1,139.0,0
Flood,5,5002,5002015,"Samapura(GN),Senanayakapura(GN),",Ampara,2000,4,2,115.9,0
Flood,5,5002,5002015,"Samapura(GN),Senanayakapura(GN),",Ampara,2000,11,18,406.8,0
Flood,7,7002,7002009,Thalpotha (GN),Polannaruwa,2000,11,19,262.3,0
Flood,7,7002,7002003,Unagalavehera (GN),Polannaruwa,2000,11,19,262.3,0
Flood,7,7002,7002018,Atharagallewa (GN),Polannaruwa,2000,11,19,262.3,0
Flood,5,5002,5002003,Kadirapura(GN),Ampara,2000,11,18,406.8,0
Flood,4,4002,4002003,Pesalai(GN),Mannar,2000,11,19,387.9,0
Flood,5,5002,5002024,Kalmunai Muslim Section (GN),Ampara,2000,11,18,406.8,100
Flood,5,5002,5002036,Akkaraipattu(GN),Ampara,2000,11,18,406.8,100
Flood,5,5002,5002045,Sangamam(GN),Ampara,2000,11,18,406.8,100
Flood,5,5002,5002051,"Lahugala,Panama(GN)",Ampara,2000,1,2,271.1,100
Flood,5,5001,5001003,"Vakarai(GN),Panichchankerni(GN)",Batticaloa,2000,12,26,305.0,0
Flood,5,5002,5002048,Pothuvil,Ampara,2000,2,4,207.6,100
Flood,5,5002,5002051,Lahugala,Ampara,2000,2,1,207.6,100
Flood,5,5002,5002045,Thirukkovil,Ampara,2000,11,18,406.8,100
Flood,4,4002,4002003,Mannar Town,Mannar,2000,11,19,387.9,100
Flood,8,8002,8002006,Madulla,Monaragala,2000,11,19,334.0,100
Flood,5,5002,5002003,Dehiattakandiya,Ampara,2000,11,18,406.8,100
Flood,7,7002,7002018,Elahera,Polannaruwa,2000,11,19,262.3,100
Flood,7,7002,7002003,Hingurakgoda,Polannaruwa,2000,11,19,262.3,100
Flood,7,7002,7002009,Lankapura,Polannaruwa,2000,11,19,262.3,100
Flood,5,5002,5002015,Ampara,Ampara,2000,11,18,406.8,100
Flood,5,5002,5002015,Ampara,Ampara,2000,2,4,207.6,100
Flood,8,8001,8001003,Mahiyanganaya,Badulla,2000,1,1,139.0,100
Flood,5,5001,5001030,Manmunai South - West (Peddipe,Batticaloa,2000,12,26,305.0,100
Flood,5,5001,5001033,Porativu Pattu (Ellavul),Batticaloa,2000,12,26,305.0,100
Flood,5,5001,5001012,Eravur Pattu (Chenkalady),Batticaloa,2000,12,26,305.0,100
Flood,5,5001,5001003,Koralai Pattu North(Vakarai),Batticaloa,2000,12,26,305.0,100
Flood,7,7001,7001009,Medawachchiya,Anuradhapura,2000,12,26,191.9,100
Flood,7,7001,7001063,Galnewa,Anuradhapura,2000,12,26,191.9,100
Flood,7,7001,7001057,Palugaswewa,Anuradhapura,2000,12,26,191.9,100
Flood,7,7001,7001054,Kekirawa,Anuradhapura,2000,12,26,191.9,100
Flood,7,7001,7001021,Kahatagasdigiliya,Anuradhapura,2000,12,26,191.9,100
Flood,7,7001,7001024,Horowpothana,Anuradhapura,2000,12,26,191.9,100
Flood,7,7001,7001006,Kebithigollewa,Anuradhapura,2000,12,26,191.9,100
Flood,7,7001,7001003,Padaviya,Anuradhapura,2000,12,26,191.9,100
Flood,5,5002,5002045,Thirukkovil,Ampara,2000,12,26,553.1,100
Flood,5,5001,5001015,Eravur Town (Eravur),Batticaloa,2000,12,26,305.0,100
Flood,5,5002,5002006,Padiyathalawa,Ampara,2000,12,20,553.1,100
Flood,7,7002,7002006,Medirigiriya,Polannaruwa,2000,11,19,262.3,100
Flood,5,5002,5002048,Pothuvil,Ampara,2000,11,18,406.8,100
Flood,5,5002,5002027,Karativu,Ampara,2000,11,18,406.8,100
Flood,5,5001,5001003,Koralai Pattu North(Vakarai),Batticaloa,2000,11,19,291.0,100
Flood,3,3002,3002024,Malimbada,Matara,2000,9,17,203.0,100
Flood,3,3003,3003015,Ambalantota,Hambantota,2000,2,4,47.0,100
Flood,3,3003,3003003,Sooriyawewa,Hambantota,2000,2,4,47.0,100
Flood,4,4003,4003009,Vavuniya(Tamil),Vavuniya,2000,2,10,93.0,100
Flood,8,8002,8002015,Moneragala,Monaragala,2000,5,30,117.0,100
Flood,9,9001,9001015,Imbulpe,Ratnapura,2000,10,10,561.4,100
Flood,9,9001,9001015,Imbulpe,Ratnapura,2000,10,7,561.4,100
Flood,9,9001,9001015,Imbulpe,Ratnapura,2000,7,14,291.0,100
Flood,9,9001,9001015,Imbulpe,Ratnapura,2000,7,13,291.0,100
Flood,9,9001,9001015,Imbulpe,Ratnapura,2000,4,11,517.6,100
Flood,9,9001,9001015,Imbulpe,Ratnapura,2000,4,8,517.6,100
Flood,9,9001,9001015,Imbulpe,Ratnapura,2000,4,1,517.6,100
Flood,9,9001,9001015,Imbulpe,Ratnapura,2000,3,25,273.9,100
Flood,9,9001,9001015,Imbulpe,Ratnapura,2000,2,6,241.0,100
Flood,9,9001,9001015,Imbulpe,Ratnapura,2000,2,8,241.0,100
Flood,9,9001,9001015,Imbulpe,Ratnapura,2000,1,14,195.0,100
Flood,9,9001,9001015,Imbulpe,Ratnapura,2000,1,5,195.0,100
Flood,9,9001,9001009,Kiriella,Ratnapura,2000,9,12,353.5,100
Flood,9,9001,9001009,Kiriella,Ratnapura,2000,7,25,291.0,100
Flood,3,3002,3002015,Athuraliya,Matara,2000,9,17,203.0,100
Flood,9,9001,9001009,Kiriella,Ratnapura,2000,2,21,241.0,100
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,12,17,235.0,100
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,11,18,334.0,100
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,7,24,113.0,100
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,6,19,82.0,100
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,6,5,82.0,100
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,4,25,182.0,100
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,4,26,182.0,100
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,3,24,103.0,100
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,3,28,103.0,100
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,2,25,93.0,100
Flood,6,6002,6002015,"Puttalam South(GN), Nelumwewa(GN),Kaladiya(GN",Puttalam,2000,12,26,265.9,100
Flood,1,1003,1003036,Kamburawala(GN),Kaluthara,2000,9,17,111.8,100
Flood,7,7002,7002010,Welikanda,Polannaruwa,2000,2,24,88.4,100
Flood,7,7002,7002015,Thamankaduwa,Polannaruwa,2000,1,13,80.1,100
Flood,5,5002,5002009,Mahaoya,Ampara,2000,11,22,406.8,100
Flood,3,3002,3002036,Thihagoda,Matara,2000,9,17,203.0,100
Flood,3,3002,3002027,Kamburupitiya,Matara,2000,9,17,203.0,100
Flood,3,3001,3001039,Galle Four Gravets,Galle,2000,9,17,246.0,100
Flood,9,9001,9001018,Balangoda,Ratnapura,2000,12,30,348.0,100
Flood,9,9001,9001018,Balangoda,Ratnapura,2000,12,28,348.0,100
Flood,3,3001,3001012,Elpitiya,Galle,2000,10,18,279.0,100
Flood,7,7001,7001045,Thambuttegama,Anuradhapura,2000,12,26,191.9,100
Flood,5,5001,5001018,Manmunai North (Batti Town),Batticaloa,2000,12,26,305.0,100
Flood,5,5001,5001006,Koralai Pattu West (Oddamavadi,Batticaloa,2000,12,26,305.0,100
Flood,5,5001,5001009,Koralai Pattu (Valachchenai),Batticaloa,2000,12,26,305.0,100
Flood,5,5002,5002030,Ninthavur,Ampara,2000,12,26,553.1,100
Flood,5,5002,5002027,Karativu,Ampara,2000,12,26,553.1,100
Flood,3,3002,3002018,Akuressa,Matara,2000,9,17,203.0,100
Flood,7,7002,7002012,Dimbulagala,Polannaruwa,2000,11,19,262.3,100
Flood,5,5003,5003003,Padavi Sri Pura,Trincomalee,2000,12,26,275.0,100
Flood,9,9001,9001018,Balangoda,Ratnapura,2000,4,8,517.6,100
Flood,3,3001,3001012,"Pahal Omatta(GN), Kahadoowa(GN), Goluwamulla(GN),",Galle,2000,10,18,279.0,100
Flood,9,9001,9001018,Balangoda,Ratnapura,2000,12,13,348.0,100
Flood,7,7001,7001045,Thambuttegama,Anuradhapura,2000,12,26,191.9,100
Flood,5,5001,5001006,Thiyawattuvan (GN),Batticaloa,2000,12,26,305.0,100
Flood,5,5001,5001009,Valachchenai(GN),Batticaloa,2000,12,26,305.0,100
Flood,5,5002,5002030,Ninthavur(GN),Ampara,2000,12,26,553.1,100
Flood,5,5002,5002027,Karativu(GN),Ampara,2000,12,26,553.1,100
Flood,3,3002,3002018,Eramudugoda(GN),Matara,2000,9,17,203.0,100
Flood,7,7002,7002012,Manampitiya(GN),Polannaruwa,2000,11,19,262.3,100
Flood,5,5002,5002006,"Marangala (GN), Pulungasmulla (GN)",Ampara,2000,12,20,553.1,100
Flood,2,2003,2003015,Ambagamuwakorale,Nuwara Eliya,2000,9,22,232.0,100
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,8,23,118.0,100
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,9,4,135.0,100
Flood,5,5002,5002003,"Sandunpura(GN),Wewmedagama(GN),Mawanagama(GN)",Ampara,2000,11,18,406.8,100
Flood,5,5003,5003003,Padavi Sri Pura(GN),Trincomalee,2000,12,26,275.0,100
Flood,5,5002,5002024,Kalmunai,Ampara,2000,11,18,406.8,100
Flood,5,5002,5002036,Akkaraipattu(Karunkoditivu),Ampara,2000,11,18,406.8,100
Flood,5,5001,5001018,Kallady Veloor(GN),Batticaloa,2000,12,26,305.0,100
Flood,9,9001,9001018,Balangoda,Ratnapura,2000,1,20,195.0,0
Flood,9,9001,9001018,Balangoda,Ratnapura,2000,11,29,547.8,100
Flood,9,9001,9001018,Balangoda,Ratnapura,2000,8,23,300.6,100
Flood,3,3002,3002012,Mulatiyana,Matara,2000,9,17,203.0,100
Flood,8,8001,8001006,Rideemaliyadda,Badulla,2000,1,1,139.0,100
Flood,5,5002,5002039,Alayadiwembu,Ampara,2000,12,26,553.1,100
Flood,5,5002,5002036,Akkaraipattu(Karunkoditivu),Ampara,2000,12,26,553.1,100
Flood,5,5002,5002033,Addalachchenai,Ampara,2000,12,26,553.1,100
Flood,5,5002,5002024,Kalmunai,Ampara,2000,12,26,553.1,100
Flood,7,7002,7002012,Welikanda,Polannaruwa,2000,12,26,211.9,100
Flood,7,7002,7002012,Welikanda,Polannaruwa,2000,12,26,211.9,100
Flood,5,5002,5002024,Kalmunai Muslim Section (GN),Ampara,2000,12,26,553.1,100
Flood,5,5002,5002033,thikkanagar,Ampara,2000,12,26,553.1,100
Flood,5,5002,5002036,Akkaraipattu(GN),Ampara,2000,12,26,553.1,100
Flood,5,5002,5002039,Kolavil 03 (GN),Ampara,2000,12,26,553.1,100
Flood,8,8001,8001006,Nagadeepa(GN),Badulla,2000,1,1,139.0,100
Flood,3,3002,3002012,Mulatiyana,Matara,2000,9,17,203.0,100
Flood,9,9001,9001018,Balangoda,Ratnapura,2000,8,20,300.6,100
Flood,6,6002,6002015,Puttalam,Puttalam,2000,12,26,265.9,100
Flood,3,3002,3002027,Lenabatuwa(GN),Matara,2000,9,17,203.0,100
Flood,3,3002,3002036,Watagedara(GN),Matara,2000,9,17,203.0,100
Flood,3,3002,3002015,Thalahagama West(GN),Matara,2000,9,17,203.0,100
Flood,3,3002,3002024,"Kadduwa(GN),Kekunawela(GN),Maragoda(GN)",Matara,2000,9,17,203.0,100
Flood,5,5001,5001003,Vakarui(GN),Batticaloa,2000,11,19,291.0,100
Flood,1,1003,1003036,Palindanuwara,Kaluthara,2000,9,17,111.8,100
Flood,5,5002,5002027,Karativu(GN),Ampara,2000,11,18,406.8,100
Flood,5,5002,5002048,Komarie (GN),Ampara,2000,11,18,406.8,100
Flood,7,7002,7002006,Kahambiliyawa (GN),Polannaruwa,2000,11,19,262.3,100
Flood,9,9001,9001018,Balangoda,Ratnapura,2000,1,13,195.0,100
Flood,9,9001,9001018,Balangoda,Ratnapura,2000,1,20,195.0,100
Flood,9,9001,9001018,Balangoda,Ratnapura,2000,3,10,273.9,100
Flood,9,9001,9001018,Balangoda,Ratnapura,2000,1,11,195.0,100
Flood,9,9001,9001018,Balangoda,Ratnapura,2000,9,10,353.5,100
Flood,3,3001,3001039,Galle Four Gravets,Galle,2000,9,17,246.0,100
Flood,9,9001,9001018,Balangoda,Ratnapura,2000,1,13,195.0,0
Flood,5,5001,5001033,Vellaveli(GN),Batticaloa,2000,12,26,305.0,0
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,3,24,103.0,0
Flood,5,5002,5002048,Pothuvil,Ampara,2000,11,18,406.8,0
Flood,7,7002,7002006,Medirigiriya,Polannaruwa,2000,11,19,262.3,0
Flood,5,5002,5002027,Karativu,Ampara,2000,12,26,553.1,0
Flood,5,5002,5002030,Ninthavur,Ampara,2000,12,26,553.1,0
Flood,5,5001,5001006,Koralai Pattu West (Oddamavadi,Batticaloa,2000,12,26,305.0,0
Flood,7,7001,7001045,Thambuttegama,Anuradhapura,2000,12,26,191.9,0
Flood,5,5002,5002006,Padiyathalawa,Ampara,2000,12,20,553.1,0
Flood,9,9001,9001015,Imbulpe,Ratnapura,2000,10,10,561.4,0
Flood,9,9001,9001015,Imbulpe,Ratnapura,2000,10,7,561.4,0
Flood,5,5002,5002039,Alayadiwembu,Ampara,2000,12,26,553.1,0
Flood,9,9001,9001015,Imbulpe,Ratnapura,2000,7,13,291.0,0
Flood,7,7002,7002015,Thamankaduwa,Polannaruwa,2000,1,13,80.1,0
Flood,9,9001,9001015,Imbulpe,Ratnapura,2000,4,11,517.6,0
Flood,9,9001,9001015,Imbulpe,Ratnapura,2000,4,8,517.6,0
Flood,9,9001,9001015,Imbulpe,Ratnapura,2000,4,1,517.6,0
Flood,9,9001,9001015,Imbulpe,Ratnapura,2000,3,25,273.9,0
Flood,9,9001,9001015,Imbulpe,Ratnapura,2000,2,8,241.0,0
Flood,5,5003,5003003,Padavi Sri Pura,Trincomalee,2000,12,26,275.0,0
Flood,7,7001,7001057,Palugaswewa,Anuradhapura,2000,12,26,191.9,0
Flood,5,5002,5002009,Mahaoya(GN),Ampara,2000,11,22,406.8,100
Flood,5,5002,5002027,Karativu,Ampara,2000,11,18,406.8,0
Flood,5,5002,5002036,Akkaraipattu(Karunkoditivu),Ampara,2000,12,26,553.1,0
Flood,8,8002,8002015,Moneragala,Monaragala,2000,5,30,117.0,0
Flood,4,4003,4003009,Vavuniya(Tamil),Vavuniya,2000,2,10,93.0,0
Flood,5,5002,5002033,Addalachchenai,Ampara,2000,12,26,553.1,0
Flood,5,5002,5002024,Kalmunai,Ampara,2000,12,26,553.1,0
Flood,7,7002,7002010,Welikanda,Polannaruwa,2000,2,24,88.4,0
Flood,7,7002,7002012,Welikanda,Polannaruwa,2000,12,26,211.9,0
Flood,3,3002,3002012,Mulatiyana,Matara,2000,9,17,203.0,0
Flood,9,9001,9001015,Imbulpe,Ratnapura,2000,1,14,195.0,0
Flood,3,3003,3003003,Sooriyawewa,Hambantota,2000,2,4,47.0,0
Flood,7,7001,7001021,Kahatagasdigiliya,Anuradhapura,2000,12,26,191.9,0
Flood,7,7001,7001054,Kekirawa,Anuradhapura,2000,12,26,191.9,0
Flood,3,3001,3001039,Galle Four Gravets,Galle,2000,9,17,246.0,0
Flood,3,3002,3002027,Kamburupitiya,Matara,2000,9,17,203.0,0
Flood,3,3002,3002036,Thihagoda,Matara,2000,9,17,203.0,0
Flood,5,5002,5002051,"Lahugala,Panama(GN)",Ampara,2000,1,1,271.1,100
Flood,3,3002,3002015,Athuraliya,Matara,2000,9,17,203.0,0
Flood,3,3002,3002024,Malimbada,Matara,2000,9,17,203.0,0
Flood,5,5001,5001009,Valachchenai(GN),Batticaloa,2000,11,19,291.0,100
Flood,9,9001,9001015,Imbulpe,Ratnapura,2000,1,5,195.0,0
Flood,9,9001,9001015,Imbulpe,Ratnapura,2000,7,14,291.0,0
Flood,5,5002,5002015,Ampara,Ampara,2000,11,18,406.8,0
Flood,4,4005,4005006,Kandavalai,Kilinochchi,2000,12,26,279.6,0
Flood,7,7001,7001024,Horowpothana,Anuradhapura,2000,12,26,191.9,0
Flood,5,5002,5002009,Mahaoya,Ampara,2000,11,22,406.8,0
Flood,2,2002,2002024,Laggala-Pallegama,Matale,2000,12,5,185.0,0
Flood,9,9001,9001009,Kiriella,Ratnapura,2000,2,21,241.0,0
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,4,26,182.0,0
Flood,7,7002,7002012,Welikanda,Polannaruwa,2000,11,19,262.3,100
Flood,7,7002,7002018,Elahera,Polannaruwa,2000,11,19,262.3,0
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,4,25,182.0,0
Flood,5,5002,5002051,Lahugala,Ampara,2000,1,1,271.1,0
Flood,7,7001,7001006,Kebithigollewa,Anuradhapura,2000,12,26,191.9,0
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,6,5,82.0,0
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,6,19,82.0,0
Flood,5,5002,5002045,Thirukkovil,Ampara,2000,12,26,553.1,0
Flood,8,8002,8002012,Siyambalanduwa,Monaragala,2000,11,18,334.0,0
